"","pais","camara","porcentaje_mujeres","cuota_genero","edad_elegibilidad","integrante_mas_joven","numero_integrantes","iso_pais"
"478","El Salvador","baja",NA,NA,NA,NA,NA,"slv"
"479","El Salvador","alta",NA,NA,NA,NA,NA,"slv"
"480","El Salvador","única",30.95,"Sí",25,32,84,"slv"
"481","San Marino","baja",NA,NA,NA,NA,NA,"smr"
"482","San Marino","alta",NA,NA,NA,NA,NA,"smr"
"483","San Marino","única",25,"Sí",21,21,60,"smr"
"484","Somalía","baja",24.36,"No",25,25,275,"som"
"485","Somalía","alta",24.07,NA,NA,NA,54,"som"
"486","Somalía","única",NA,NA,NA,NA,NA,"som"
"487","Serbia","baja",NA,NA,NA,NA,NA,"srb"
"488","Serbia","alta",NA,NA,NA,NA,NA,"srb"
"489","Serbia","única",37.65,"Sí",18,26,247,"srb"
"490","Santo Tomé y Príncipe","baja",NA,NA,NA,NA,NA,"stp"
"491","Santo Tomé y Príncipe","alta",NA,NA,NA,NA,NA,"stp"
"492","Santo Tomé y Príncipe","única",14.55,"Sí",18,27,55,"stp"
"493","Surinam","baja",NA,NA,NA,NA,NA,"sur"
"494","Surinam","alta",NA,NA,NA,NA,NA,"sur"
"495","Surinam","única",29.41,"No",21,31,51,"sur"
"496","Eslovaquia","baja",NA,NA,NA,NA,NA,"svk"
"497","Eslovaquia","alta",NA,NA,NA,NA,NA,"svk"
"498","Eslovaquia","única",20,"Sí",21,28,150,"svk"
"499","Eslovenia","baja",24.44,"Sí",18,28,90,"svn"
"500","Eslovenia","alta",10,"No",18,38,40,"svn"
"501","Eslovenia","única",NA,NA,NA,NA,NA,"svn"
"502","Suecia","baja",NA,NA,NA,NA,NA,"swe"
"503","Suecia","alta",NA,NA,NA,NA,NA,"swe"
"504","Suecia","única",47.28,"Sí",18,22,349,"swe"
"505","Seychelles","baja",NA,NA,NA,NA,NA,"syc"
"506","Seychelles","alta",NA,NA,NA,NA,NA,"syc"
"507","Seychelles","única",21.21,"No",18,35,33,"syc"
"508","Chad","baja",NA,NA,NA,NA,NA,"tcd"
"509","Chad","alta",NA,NA,NA,NA,NA,"tcd"
"510","Chad","única",14.88,"No",25,28,168,"tcd"
"511","Togo","baja",NA,NA,NA,NA,NA,"tgo"
"512","Togo","alta",NA,NA,NA,NA,NA,"tgo"
"513","Togo","única",16.48,"Sí",25,28,91,"tgo"
"514","Tailandia","baja",NA,NA,NA,NA,NA,"tha"
"515","Tailandia","alta",NA,NA,NA,NA,NA,"tha"
"516","Tailandia","única",5.42,"Sí",25,51,240,"tha"
"517","Tajikistan","baja",19.05,"No",25,32,63,"tjk"
"518","Tajikistan","alta",21.88,"No",35,NA,32,"tjk"
"519","Tajikistan","única",NA,NA,NA,NA,NA,"tjk"
"520","Turkmenistan","baja",NA,NA,NA,NA,NA,"tkm"
"521","Turkmenistan","alta",NA,NA,NA,NA,NA,"tkm"
"522","Turkmenistan","única",25,"No",25,NA,124,"tkm"
"523","Timor-Leste","baja",NA,NA,NA,NA,NA,"tmp"
"524","Timor-Leste","alta",NA,NA,NA,NA,NA,"tmp"
"525","Timor-Leste","única",38.46,"Sí",17,41,65,"tmp"
"526","Tonga","baja",NA,NA,NA,NA,NA,"ton"
"527","Tonga","alta",NA,NA,NA,NA,NA,"ton"
"528","Tonga","única",7.41,"No",21,29,27,"ton"
"529","Trinidad y Tobago","baja",30.95,"No",18,29,42,"tto"
"530","Trinidad y Tobago","alta",35.48,"No",25,31,31,"tto"
"531","Trinidad y Tobago","única",NA,NA,NA,NA,NA,"tto"
"532","Túnez","baja",NA,NA,NA,NA,NA,"tun"
"533","Túnez","alta",NA,NA,NA,NA,NA,"tun"
"534","Túnez","única",35.94,"Sí",23,26,217,"tun"
"535","Turquía","baja",NA,NA,NA,NA,NA,"tur"
"536","Turquía","alta",NA,NA,NA,NA,NA,"tur"
"537","Turquía","única",17.45,"Sí",25,29,596,"tur"
"538","Tuvalu","baja",NA,NA,NA,NA,NA,"tuv"
"539","Tuvalu","alta",NA,NA,NA,NA,NA,"tuv"
"540","Tuvalu","única",6.67,"No",21,49,15,"tuv"
"541","Uganda","baja",NA,NA,NA,NA,NA,"uga"
"542","Uganda","alta",NA,NA,NA,NA,NA,"uga"
"543","Uganda","única",34.86,"Sí",18,20,459,"uga"
"544","Ucrania","baja",NA,NA,NA,NA,NA,"ukr"
"545","Ucrania","alta",NA,NA,NA,NA,NA,"ukr"
"546","Ucrania","única",11.58,"No",21,26,423,"ukr"
"547","Uruguay","baja",22.22,"Sí",25,30,99,"ury"
"548","Uruguay","alta",25.81,"Sí",30,44,31,"ury"
"549","Uruguay","única",NA,NA,NA,NA,NA,"ury"
"550","Uzbekistan","baja",16,"Sí",25,NA,150,"uzb"
"551","Uzbekistan","alta",17,"Sí",25,38,100,"uzb"
"552","Uzbekistan","única",NA,NA,NA,NA,NA,"uzb"
"553","San Vicente y las Granadinas","baja",NA,NA,NA,NA,NA,"vct"
"554","San Vicente y las Granadinas","alta",NA,NA,NA,NA,NA,"vct"
"555","San Vicente y las Granadinas","única",13.04,"No",21,28,23,"vct"
"556","Viet Nam","baja",NA,NA,NA,NA,NA,"vnm"
"557","Viet Nam","alta",NA,NA,NA,NA,NA,"vnm"
"558","Viet Nam","única",26.72,"No",21,25,494,"vnm"
"559","Vanuatu","baja",NA,NA,NA,NA,NA,"vut"
"560","Vanuatu","alta",NA,NA,NA,NA,NA,"vut"
"561","Vanuatu","única",0,"No",25,NA,52,"vut"
"562","Samoa","baja",NA,NA,NA,NA,NA,"wsm"
"563","Samoa","alta",NA,NA,NA,NA,NA,"wsm"
"564","Samoa","única",10,"Sí",21,NA,50,"wsm"
"565","Yemen","baja",0.33,"No",25,30,301,"yem"
"566","Yemen","alta",2.7,"No",NA,NA,111,"yem"
"567","Yemen","única",NA,NA,NA,NA,NA,"yem"
"568","Sudáfrica","baja",44.16,"No",18,24,385,"zaf"
"569","Sudáfrica","alta",35.19,"No",NA,28,54,"zaf"
"570","Sudáfrica","única",NA,NA,NA,NA,NA,"zaf"
"571","Zambia","baja",NA,NA,NA,NA,NA,"zmb"
"572","Zambia","alta",NA,NA,NA,NA,NA,"zmb"
"573","Zambia","única",17.96,"No",21,28,167,"zmb"
"574","Zimbabwe","baja",31.85,"No",21,25,270,"zwe"
"575","Zimbabwe","alta",43.75,"No",40,36,80,"zwe"
"576","Zimbabwe","única",NA,NA,NA,NA,NA,"zwe"
